City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
hermanus,-34.4187,19.2345,66.9,81,99,17.63,ZA,1639968625
hilo,19.7297,-155.09,74.12,46,90,0.0,US,1639968354
vaini,-21.2,-175.2,87.96,79,40,10.36,TO,1639968625
callaguip,18.0714,120.4867,86.02,62,75,3.44,PH,1639968625
tuatapere,-46.1333,167.6833,63.82,88,100,13.6,NZ,1639968656
nicoya,10.1483,-85.452,78.35,84,0,6.76,CR,1639968656
nantong,32.0303,120.8747,52.88,38,12,7.92,CN,1639968656
dikson,73.5069,80.5464,-29.76,99,89,3.85,RU,1639968657
ancud,-41.8697,-73.8203,58.53,94,15,1.63,CL,1639968657
hobart,-42.8794,147.3294,67.86,45,75,24.16,AU,1639968550
ukiah,39.1502,-123.2078,48.63,77,90,5.75,US,1639968657
turner,44.2565,-70.2562,24.69,76,4,3.0,US,1639968657
new norfolk,-42.7826,147.0587,67.5,78,100,16.4,AU,1639968658
tocopilla,-22.092,-70.1979,66.78,76,62,1.74,CL,1639968658
nkhotakota,-12.9274,34.2961,75.07,83,100,10.11,MW,1639968658
albemarle,35.3501,-80.2001,45.75,97,40,4.61,US,1639968658
kasongo-lunda,-6.4667,16.8167,70.47,97,100,1.01,CD,1639968659
barrow,71.2906,-156.7887,6.82,78,90,33.38,US,1639968659
srednekolymsk,67.45,153.6833,-31.29,96,100,22.1,RU,1639968659
albany,42.6001,-73.9662,24.75,74,13,11.01,US,1639968660
cape town,-33.9258,18.4232,70.11,73,0,3.0,ZA,1639968660
kodiak,57.79,-152.4072,32.83,82,19,5.17,US,1639968660
son la,21.3167,103.9,62.4,57,35,0.87,VN,1639968660
chokurdakh,70.6333,147.9167,-2.22,96,100,15.05,RU,1639968660
hobyo,5.3505,48.5268,78.4,77,56,17.52,SO,1639968661
te anau,-45.4167,167.7167,57.97,90,100,11.81,NZ,1639968641
thompson,55.7435,-97.8558,-9.24,84,75,6.91,CA,1639968661
kosh-agach,50.0,88.6667,5.11,67,100,1.9,RU,1639968661
nara,34.6851,135.8049,51.08,95,8,9.01,JP,1639968636
husavik,66.0449,-17.3389,42.71,87,100,6.13,IS,1639968662
asuncion,-25.3007,-57.6359,83.89,70,0,0.0,PY,1639968662
manacapuru,-3.2997,-60.6206,79.38,94,100,1.32,BR,1639968662
faanui,-16.4833,-151.75,80.26,76,26,9.89,PF,1639968662
lazne belohrad,50.4287,15.5827,35.65,79,5,7.87,CZ,1639968663
mount gambier,-37.8333,140.7667,69.71,46,0,21.85,AU,1639968663
panaba,21.2833,-88.2667,73.18,89,100,6.78,MX,1639968664
vestmannaeyjar,63.4427,-20.2734,45.72,82,100,4.36,IS,1639968664
cherskiy,68.75,161.3,-24.0,97,100,21.88,RU,1639968664
iqaluit,63.7506,-68.5145,-4.27,70,20,5.99,CA,1639968664
chuy,-33.6971,-53.4616,65.79,88,0,9.64,UY,1639968665
east london,-33.0153,27.9116,66.36,86,34,10.71,ZA,1639968665
isangel,-19.55,169.2667,87.91,79,40,11.5,VU,1639968665
morehead,37.2711,-87.1764,34.14,85,1,0.0,US,1639968665
capim grosso,-11.3811,-40.0128,71.55,83,98,4.09,BR,1639968666
jamestown,42.097,-79.2353,26.71,89,40,0.0,US,1639968666
avarua,-21.2078,-159.775,82.45,69,75,6.91,CK,1639968666
ahuimanu,21.4447,-157.8378,80.31,68,75,14.97,US,1639968666
yinchuan,38.4681,106.2731,35.49,18,0,3.94,CN,1639968605
batemans bay,-35.7167,150.1833,86.99,57,4,10.47,AU,1639968667
flin flon,54.7682,-101.865,2.26,92,100,10.2,CA,1639968667
nagua,19.3832,-69.8474,73.45,91,79,5.91,DO,1639968667
victoria,22.2855,114.1577,62.65,80,100,5.01,HK,1639968635
svolvaer,68.2342,14.5683,30.38,67,14,7.11,NO,1639968607
mataura,-46.1927,168.8643,63.48,81,94,12.86,NZ,1639968698
nouakchott,18.0858,-15.9785,71.53,49,100,13.29,MR,1639968698
canaries,28.0,-15.5,57.4,82,20,10.36,ES,1639968699
saint george,37.1041,-113.5841,40.32,59,1,1.01,US,1639968699
boshnyakovo,49.6333,142.1667,12.2,81,100,5.61,RU,1639968700
bambanglipuro,-7.95,110.2833,77.43,90,100,4.7,ID,1639968700
katsuura,35.1333,140.3,48.31,44,0,4.5,JP,1639968700
mar del plata,-38.0023,-57.5575,68.09,94,0,3.0,AR,1639968701
leningradskiy,69.3833,178.4167,-2.2,87,100,9.17,RU,1639968701
olafsvik,64.8945,-23.7142,41.31,78,100,2.84,IS,1639968702
vardo,70.3705,31.1107,28.35,68,100,23.42,NO,1639968702
teya,60.3778,92.6267,-36.44,98,26,2.46,RU,1639968702
manokwari,-0.8667,134.0833,83.61,70,99,4.09,ID,1639968566
fairbanks,64.8378,-147.7164,21.6,89,90,3.44,US,1639968703
bluff,-46.6,168.3333,63.81,84,99,30.65,NZ,1639968703
busselton,-33.65,115.3333,81.05,35,0,6.53,AU,1639968703
sao joao da ponte,-15.9292,-44.0078,67.23,98,72,2.46,BR,1639968703
bethel,41.3712,-73.414,29.05,69,1,1.99,US,1639968704
kavaratti,10.5669,72.642,81.03,72,4,7.09,IN,1639968704
nuuk,64.1835,-51.7216,37.83,66,100,13.04,GL,1639968704
saurimo,-9.6608,20.3916,64.98,98,100,1.92,AO,1639968704
honiara,-9.4333,159.95,84.61,75,99,4.36,SB,1639968705
ust-tsilma,65.441,52.1498,3.78,93,100,6.89,RU,1639968705
kieta,-6.2167,155.6333,83.8,79,100,4.47,PG,1639968705
zhaoyuan,37.3592,120.3964,46.87,36,2,7.09,CN,1639968705
caravelas,-17.7125,-39.2481,72.95,92,95,4.81,BR,1639968706
mumford,5.2618,-0.759,78.48,73,90,5.19,GH,1639968542
hovd,48.0056,91.6419,17.46,54,100,4.27,MN,1639968706
geraldton,-28.7667,114.6,81.01,44,4,13.8,AU,1639968706
sierra vista,31.5545,-110.3037,49.23,50,1,0.0,US,1639968707
juneau,58.3019,-134.4197,26.22,95,44,6.78,US,1639968707
ovsyanka,55.9575,92.5519,-7.78,98,100,4.07,RU,1639968707
khatanga,71.9667,102.5,-11.7,98,100,11.41,RU,1639968708
laguna,38.421,-121.4238,46.22,89,40,4.61,US,1639968709
san cristobal,7.7669,-72.225,69.98,93,87,1.63,VE,1639968709
esperance,-33.8667,121.9,78.64,47,48,8.16,AU,1639968640
urumqi,43.801,87.6005,23.59,63,31,5.75,CN,1639968709
saskylakh,71.9167,114.0833,-7.92,98,100,9.82,RU,1639968709
buin,-33.7333,-70.75,78.73,60,0,1.54,CL,1639968710
yellowknife,62.456,-114.3525,-21.48,76,75,6.91,CA,1639968740
san policarpo,12.1791,125.5072,82.15,81,71,9.51,PH,1639968740
kloulklubed,7.0419,134.2556,83.46,77,96,20.13,PW,1639968740
griffith,41.5284,-87.4237,32.4,84,1,1.01,US,1639968741
la ronge,55.1001,-105.2842,-10.95,70,90,12.66,CA,1639968741
ketchikan,55.3422,-131.6461,27.07,80,1,10.36,US,1639968741
puerto ayora,-0.7393,-90.3518,69.67,92,100,7.0,EC,1639968742
saint-pierre,-21.3393,55.4781,80.56,83,90,3.44,RE,1639968742
kota kinabalu,5.9749,116.0724,82.38,78,20,12.66,MY,1639968505
lubango,-14.9172,13.4925,59.58,83,35,2.91,AO,1639968744
yumen,40.2833,97.2,31.98,18,0,12.55,CN,1639968745
alofi,-19.0595,-169.9187,84.09,65,42,16.11,NU,1639968745
at-bashi,41.1702,75.8106,16.63,71,95,2.62,KG,1639968745
necochea,-38.5473,-58.7368,61.56,88,0,5.99,AR,1639968745
karavayevo,55.2961,37.9622,23.25,85,75,15.66,RU,1639968746
tiksi,71.6872,128.8694,-15.56,100,100,3.71,RU,1639968746
omboue,-1.5746,9.2618,77.02,90,87,3.02,GA,1639968746
talnakh,69.4865,88.3972,-33.29,95,77,2.44,RU,1639968747
pimenta bueno,-11.6725,-61.1936,73.17,99,100,2.64,BR,1639968747
grado,43.388,-6.0743,47.25,86,0,10.36,ES,1639968748
coihaique,-45.5752,-72.0662,56.01,82,0,4.76,CL,1639968748
velsk,61.0701,42.0983,2.23,95,100,10.04,RU,1639968748
grand gaube,-20.0064,57.6608,80.38,76,80,1.99,MU,1639968748
southbridge,42.0751,-72.0334,26.92,75,5,3.0,US,1639968749
port elizabeth,-33.918,25.5701,65.1,88,0,6.91,ZA,1639968749
flinders,-34.5833,150.8552,87.8,67,10,9.4,AU,1639968749
asau,46.4333,26.4,36.52,91,80,2.66,RO,1639968749
acapulco,16.8634,-99.8901,78.42,79,75,6.22,MX,1639968643
mahebourg,-20.4081,57.7,80.26,83,40,5.75,MU,1639968750
edd,13.9297,41.6925,78.37,61,93,13.96,ER,1639968750
mehamn,71.0357,27.8492,28.06,65,100,15.08,NO,1639968750
almeirim,-1.5233,-52.5817,75.42,93,93,3.0,BR,1639968750
grindavik,63.8424,-22.4338,43.27,100,90,6.91,IS,1639968522
walvis bay,-22.9575,14.5053,62.1,94,89,6.91,NA,1639968751
banda aceh,5.5577,95.3222,78.58,86,100,20.36,ID,1639968727
ponta do sol,32.6667,-17.1,69.01,91,100,18.77,PT,1639968751
moose jaw,50.4001,-105.5344,3.45,72,80,17.27,CA,1639968751
kodinsk,58.6881,99.1844,-35.75,97,38,1.03,RU,1639968752
yaring,6.8662,101.3689,83.14,72,95,6.62,TH,1639968752
giyon,8.5333,37.9833,56.21,81,98,7.9,ET,1639968752
palana,59.1167,159.9667,8.53,80,98,11.18,RU,1639968752
mount isa,-20.7333,139.5,96.57,26,0,6.91,AU,1639968752
inirida,3.8653,-67.9239,74.71,96,100,1.23,CO,1639968753
kanepi,57.982,26.7627,23.05,80,100,13.22,EE,1639968753
bredasdorp,-34.5322,20.0403,65.52,82,100,12.66,ZA,1639968753
adrar,20.5022,-10.0711,70.32,32,100,11.86,MR,1639968754
tilichiki,60.4667,166.1,-18.26,97,40,6.85,RU,1639968754
sitka,57.0531,-135.33,28.29,74,1,6.91,US,1639968754
lebu,-37.6167,-73.65,56.84,94,27,16.11,CL,1639968754
itacoatiara,-3.1431,-58.4442,75.24,96,100,1.97,BR,1639968784
kismayo,-0.3582,42.5454,79.93,86,25,11.68,SO,1639968785
buchanan,5.8808,-10.0467,76.96,85,12,7.4,LR,1639968785
arlit,18.7369,7.3853,56.75,27,2,3.91,NE,1639968785
comodoro rivadavia,-45.8667,-67.5,55.26,67,0,11.5,AR,1639968785
airai,-8.9266,125.4092,74.01,67,100,2.01,TL,1639968786
dingle,10.9995,122.6711,84.79,72,54,10.56,PH,1639968786
henties bay,-22.116,14.2845,61.86,81,60,3.11,NA,1639968786
sun valley,39.5963,-119.776,34.39,82,20,1.01,US,1639968786
tessalit,20.1986,1.0114,63.18,23,55,9.06,ML,1639968787
aklavik,68.2191,-135.0107,-1.37,100,99,7.54,CA,1639968787
kavieng,-2.5744,150.7967,82.72,75,82,2.17,PG,1639968787
kuusamo,65.9667,29.1833,-0.36,85,20,6.91,FI,1639968619
saldanha,-33.0117,17.9442,60.85,84,94,3.8,ZA,1639968788
bulungu,-4.55,18.6,70.88,96,92,0.63,CD,1639968788
kandi,11.1342,2.9386,65.12,26,0,6.62,BJ,1639968788
harper,4.375,-7.7169,79.25,84,61,9.01,LR,1639968788
tuktoyaktuk,69.4541,-133.0374,-14.8,76,90,19.57,CA,1639968789
champerico,14.3,-91.9167,80.76,79,2,7.94,GT,1639968789
hun,29.1268,15.9477,43.72,60,0,3.18,LY,1639968790
teavaro,-17.5,-149.7667,81.88,69,40,5.75,PF,1639968790
clyde river,70.4692,-68.5914,8.83,92,100,11.5,CA,1639968790
denpasar,-8.65,115.2167,83.86,83,40,4.61,ID,1639968602
noumea,-22.2763,166.4572,87.78,99,48,15.39,NC,1639968791
zhangzhou,24.5133,117.6556,61.14,56,100,1.23,CN,1639968506
guerrero negro,27.9769,-114.0611,59.31,54,0,8.19,MX,1639968791
olinda,-8.0089,-34.8553,82.13,74,40,8.05,BR,1639968791
elk river,45.3038,-93.5672,31.05,73,100,1.99,US,1639968791
tamworth,52.634,-1.6959,41.83,95,100,1.01,GB,1639968792
nezhinka,51.7676,55.3694,28.56,86,90,15.66,RU,1639968792
ekhabi,53.5102,142.9671,0.43,70,2,9.06,RU,1639968792
stillwater,36.1156,-97.0584,38.61,71,0,1.01,US,1639968792
north bend,43.4065,-124.2243,52.92,100,90,10.36,US,1639968793
vostok,46.4856,135.8833,9.63,86,99,3.33,RU,1639968793
fortuna,40.5982,-124.1573,54.66,84,20,8.01,US,1639968793
port hardy,50.6996,-127.4199,39.2,80,20,3.44,CA,1639968793
ilulissat,69.2167,-51.1,26.37,69,100,8.48,GL,1639968793
kahului,20.8947,-156.47,76.26,90,75,19.57,US,1639968794
porto santo,33.072,-16.3415,68.31,82,40,31.07,PT,1639968794
kahna nau,31.3692,74.3653,41.04,87,5,0.0,PK,1639968794
belgrade,44.804,20.4651,36.54,79,0,5.01,RS,1639968730
nabire,-3.3667,135.4833,87.49,63,39,5.1,ID,1639968794
mokhotlong,-29.2894,29.0675,46.29,91,17,0.94,LS,1639968795
shellbrook,53.2168,-106.4011,-8.37,90,86,12.3,CA,1639968795
aripuana,-9.1667,-60.6333,74.14,99,100,2.39,BR,1639968795
boca do acre,-8.7522,-67.3978,73.58,99,100,3.06,BR,1639968795
demerval lobao,-5.3583,-42.6764,83.61,92,99,2.26,BR,1639968796
mackay,-21.15,149.2,90.68,62,14,10.36,AU,1639968551
moerai,-22.4333,-151.3333,78.3,72,0,16.2,PF,1639968827
bathurst,-33.4166,149.5806,83.97,44,50,4.0,AU,1639968827
high level,58.5169,-117.136,1.51,92,75,2.3,CA,1639968827
dunedin,-45.8742,170.5036,73.2,46,66,24.99,NZ,1639968618
abalak,58.1286,68.5944,13.6,94,100,11.32,RU,1639968828
pitimbu,-7.4706,-34.8086,79.39,77,54,9.46,BR,1639968828
beringovskiy,63.05,179.3167,3.04,88,100,9.91,RU,1639968828
svetlaya,46.5389,138.3297,15.98,53,44,2.24,RU,1639968828
santa cruz de la palma,28.6835,-17.7642,69.94,46,0,6.91,ES,1639968829
quelimane,-17.8786,36.8883,75.15,94,75,5.99,MZ,1639968829
kirkwall,58.9848,-2.9587,41.34,87,90,1.14,GB,1639968829
longyearbyen,78.2186,15.6401,24.64,74,75,8.05,SJ,1639968829
narsaq,60.9167,-46.05,34.36,64,100,15.37,GL,1639968830
cairns,-16.9167,145.7667,101.07,44,73,13.8,AU,1639968830
kuytun,54.3419,101.5036,-19.82,99,29,2.35,RU,1639968830
north platte,41.1239,-100.7654,39.38,44,5,1.99,US,1639968830
susurluk,39.9136,28.1578,39.83,87,25,4.09,TR,1639968830
vila franca do campo,37.7167,-25.4333,57.61,90,99,15.35,PT,1639968831
sao felix do xingu,-6.6447,-51.995,72.27,98,100,0.56,BR,1639968831
parintins,-2.6283,-56.7358,75.9,76,96,2.21,BR,1639968831
coruripe,-10.1256,-36.1756,78.21,82,38,10.96,BR,1639968832
koslan,63.4564,48.8989,1.2,94,100,7.74,RU,1639968832
pangody,65.85,74.4859,-28.91,86,69,10.16,RU,1639968832
aksay,47.26,39.87,37.62,96,100,15.86,RU,1639968832
zagare,56.3592,23.25,30.96,88,100,14.94,LT,1639968833
port hedland,-20.3167,118.5667,93.25,66,75,27.63,AU,1639968833
korla,41.7597,86.1469,23.4,54,47,1.63,CN,1639968833
hami,42.8,93.45,26.08,46,0,0.51,CN,1639968833
macamic,48.7502,-78.9996,-0.17,76,100,9.17,CA,1639968834
ayagoz,47.9714,80.4392,25.7,96,100,12.28,KZ,1639968834
taywarah,33.35,64.4167,33.84,96,98,1.99,AF,1639968835
karratha,-20.7377,116.8463,93.24,50,9,21.5,AU,1639968835
raudeberg,61.9875,5.1352,37.87,92,93,1.99,NO,1639968835
qui nhon,13.7667,109.2333,76.6,74,99,2.93,VN,1639968662
yerbogachen,61.2767,108.0108,-38.16,99,88,3.71,RU,1639968835
muhos,64.808,25.9931,6.58,91,7,4.38,FI,1639968836
inhambane,-23.865,35.3833,72.34,80,99,8.08,MZ,1639968837
vila velha,-20.3297,-40.2925,69.75,94,90,2.3,BR,1639968837
turbat,26.0023,63.044,63.21,80,79,1.45,PK,1639968837
saint anthony,45.0205,-93.218,30.88,73,100,5.01,US,1639968837
chapais,49.7834,-74.8492,-0.62,100,76,1.59,CA,1639968837
dubbo,-32.25,148.6167,86.13,54,53,8.05,AU,1639968838
kysyl-syr,63.8986,122.7617,-28.5,96,100,5.99,RU,1639968838
tucdao,11.7011,124.4719,82.06,77,37,8.5,PH,1639968838
oranjemund,-28.55,16.4333,60.64,85,1,4.97,NA,1639968838
lima,-12.0432,-77.0282,65.89,81,75,8.05,PE,1639968869
dashitou,43.3067,128.5114,28.65,59,100,13.49,CN,1639968747
dzilam gonzalez,21.2833,-88.9333,73.36,88,100,6.35,MX,1639968869
port blair,11.6667,92.75,81.57,71,64,8.34,IN,1639968869
san quintin,30.4833,-115.95,56.79,61,2,4.0,MX,1639968869
dabra,25.9,78.3333,52.3,30,2,2.59,IN,1639968870
iskateley,67.6803,53.1512,-8.01,92,99,9.89,RU,1639968870
polunochnoye,60.8697,60.4153,-6.95,96,100,9.04,RU,1639968870
ahipara,-35.1667,173.1667,70.29,62,59,6.64,NZ,1639968870
norman wells,65.282,-126.8329,1.44,78,90,4.61,CA,1639968871
west wendover,40.7391,-114.0733,25.81,74,20,0.0,US,1639968871
san rafael,-34.6177,-68.3301,79.97,48,0,5.08,AR,1639968871
severo-kurilsk,50.6789,156.125,27.52,79,87,14.65,RU,1639968871
kudahuvadhoo,2.6708,72.8944,81.75,78,100,15.17,MV,1639968871
balabac,7.9868,117.0645,83.35,74,100,6.04,PH,1639968872
tygda,53.1167,126.3333,-4.54,91,100,9.98,RU,1639968872
puerto escondido,15.85,-97.0667,79.38,78,100,4.94,MX,1639968872
nanortalik,60.1432,-45.2371,39.13,72,100,27.87,GL,1639968872
bassar,9.25,0.7833,67.55,25,7,3.76,TG,1639968872
tel aviv-yafo,32.0805,34.7805,58.21,50,0,13.8,IL,1639968873
castanos,26.7833,-101.4167,51.19,54,85,3.09,MX,1639968873
kashan,33.9831,51.4364,47.79,66,59,0.98,IR,1639968873
yarmouth,41.7057,-70.2286,35.15,77,90,28.99,US,1639968873
muchkapskiy,51.8513,42.4717,27.88,95,99,8.28,RU,1639968874
paracuru,-3.41,-39.0306,81.1,78,74,10.94,BR,1639968874
taihe,30.8712,105.3845,50.2,62,4,3.49,CN,1639968874
tuensang,26.2833,94.8333,64.02,59,0,1.16,IN,1639968754
lahij,13.1667,44.5833,67.44,82,50,3.96,YE,1639968875
tokur,53.1333,132.9,-7.13,92,100,2.15,RU,1639968875
hambantota,6.1241,81.1185,75.54,94,38,4.61,LK,1639968875
hervey bay,-25.2986,152.8535,89.04,59,89,7.47,AU,1639968875
sangre grande,10.5835,-61.1177,79.18,83,99,9.75,TT,1639968876
provideniya,64.3833,-173.3,33.91,93,90,20.13,RU,1639968876
pangnirtung,66.1451,-65.7125,12.2,85,90,6.91,CA,1639968876
digoin,46.4812,3.9795,35.13,100,90,1.14,FR,1639968876
giddarbaha,30.2,74.6667,50.5,16,4,4.14,IN,1639968877
port lincoln,-34.7333,135.8667,70.47,51,16,9.73,AU,1639968838
soyo,-6.1349,12.3689,77.41,89,83,8.28,AO,1639968877
itoman,26.1247,127.6694,66.97,52,40,5.75,JP,1639968877
souillac,-20.5167,57.5167,80.37,83,40,5.75,MU,1639968878
aras,42.5617,-2.356,32.72,100,90,2.3,ES,1639968878
nhulunbuy,-12.2333,136.7667,92.01,49,40,12.66,AU,1639968878
kankon,15.0167,74.0167,72.9,54,5,8.3,IN,1639968878
xiaoweizhai,26.1903,107.5125,53.64,68,37,3.8,CN,1639968879
golden,39.7555,-105.2211,47.68,23,75,1.99,US,1639968879
thomasville,35.8826,-80.082,39.97,87,33,7.07,US,1639968879
haines junction,60.7522,-137.5108,-18.45,69,100,1.14,CA,1639968909
naze,28.3667,129.4833,63.52,47,40,3.65,JP,1639968840
langholm,55.151,-2.9989,39.0,82,91,5.64,GB,1639968910
bakel,14.905,-12.4568,82.0,12,100,19.51,SN,1639968910
tucurui,-3.7661,-49.6725,74.61,97,100,2.95,BR,1639968910
qaqortoq,60.7167,-46.0333,34.81,64,100,16.15,GL,1639968911
abu dhabi,24.4667,54.3667,67.96,75,0,5.75,AE,1639968641
port hawkesbury,45.6169,-61.3485,30.15,80,90,1.99,CA,1639968911
dzhebariki-khaya,62.2167,135.8,-29.85,94,100,2.84,RU,1639968911
pisco,-13.7,-76.2167,68.05,83,0,5.75,PE,1639968912
christiana,-27.914,25.1611,61.23,78,24,6.46,ZA,1639968912
namibe,-15.1961,12.1522,68.76,71,56,8.34,AO,1639968912
moctezuma,29.8,-109.6667,56.62,44,0,2.15,MX,1639968912
invermere,50.5167,-116.0354,9.75,97,98,1.68,CA,1639968913
gamba,-2.65,10.0,76.3,91,100,5.12,GA,1639968913
roald,62.5833,6.1333,39.0,93,75,5.75,NO,1639968913
aden,12.7794,45.0367,77.16,71,57,14.27,YE,1639968913
sarab,38.6066,44.9883,35.74,67,4,5.79,IR,1639968914
rocha,-34.4833,-54.3333,62.47,96,2,7.23,UY,1639968914
whitefish,48.4111,-114.3376,12.99,92,100,5.48,US,1639968914
santiago de cao,-7.9589,-79.2392,64.53,82,99,10.36,PE,1639968914
alausi,-2.2,-78.8333,50.77,96,100,0.4,EC,1639968915
agadez,19.75,10.25,53.89,37,0,10.16,NE,1639968915
altay,47.8667,88.1167,25.79,70,99,3.13,CN,1639968916
skibbereen,51.55,-9.2667,46.2,82,100,19.15,IE,1639968917
solone,48.2081,34.8721,37.45,88,98,8.41,UA,1639968917
fuyang,32.9,115.8167,56.5,25,59,13.42,CN,1639968648
kiama,-34.6833,150.8667,88.0,66,14,14.0,AU,1639968917
launceston,-41.45,147.1667,69.44,49,75,33.38,AU,1639968791
sorland,67.667,12.6934,39.79,54,98,16.44,NO,1639968918
okha,53.5739,142.9478,-0.04,74,6,10.11,RU,1639968918
clarksville,36.5298,-87.3595,37.18,84,1,5.75,US,1639968918
dandong,40.1292,124.3947,40.41,66,5,5.75,CN,1639968756
creel,27.75,-107.6333,33.89,62,1,0.94,MX,1639968919
moose factory,51.2585,-80.6094,3.18,78,90,11.5,CA,1639968919
tonantins,-2.8731,-67.8022,75.13,98,100,2.26,BR,1639968920
khandyga,62.6667,135.6,-33.34,92,100,2.46,RU,1639968920
bathsheba,13.2167,-59.5167,79.41,73,20,24.16,BB,1639968920
ust-nera,64.5667,143.2,-40.67,99,92,1.39,RU,1639968920
ruteng,-8.6136,120.4721,73.89,73,100,0.45,ID,1639968921
sabang,5.8933,95.3214,79.72,85,100,27.67,ID,1639968921
mudbidri,13.0833,74.9833,71.22,60,3,5.75,IN,1639968921
gornopravdinsk,60.05,69.9,5.13,94,100,11.99,RU,1639968921
elizabeth city,36.2946,-76.2511,42.98,90,70,14.0,US,1639968953
pangai,-19.8,-174.35,86.11,66,40,16.11,TO,1639968953
palmer,42.1584,-72.3287,27.0,65,1,3.0,US,1639968953
copala,16.65,-98.9833,77.04,79,75,6.31,MX,1639968953
nome,64.5011,-165.4064,35.67,87,90,26.46,US,1639968954
san andres,12.5847,-81.7006,82.42,78,20,11.5,CO,1639968954
layou,13.2,-61.2667,78.28,76,42,19.35,VC,1639968954
kaeo,-35.1,173.7833,71.85,58,72,8.14,NZ,1639968954
maltahohe,-24.8333,16.9833,61.61,30,40,4.83,NA,1639968954
beira,-19.8436,34.8389,74.08,79,89,7.85,MZ,1639968955
mikhaylovka,50.06,43.2379,34.79,97,100,16.91,RU,1639968955
pachora,20.6667,75.35,63.18,32,1,5.23,IN,1639968955
point pleasant,40.0832,-74.0682,32.23,64,1,5.99,US,1639968955
margate,51.3813,1.3862,44.69,93,100,3.0,GB,1639968955
tual,-5.6667,132.75,84.38,68,92,2.15,ID,1639968956
moshenskoye,58.5102,34.5911,10.53,90,100,12.15,RU,1639968956
ballina,-28.8667,153.5667,91.58,58,93,11.5,AU,1639968956
kurgan,55.45,65.3333,25.27,93,94,11.45,RU,1639968943
saint-joseph,-21.3667,55.6167,79.47,84,38,6.29,RE,1639968957
leh,34.1667,77.5833,1.49,43,0,3.29,IN,1639968868
carahue,-38.7,-73.1667,57.4,94,15,2.21,CL,1639968957
sur,22.5667,59.5289,67.96,66,23,2.15,OM,1639968957
